datetime,timestamp,open,high,low,close,volume,SMA_20,SMA_50,RSI_14,MACD,Signal,EMA_12,EMA_26,BB_Middle,BB_StdDev,BB_Upper,BB_Lower
2025-05-07 21:00:00,1746651600000,1797.51,1809.05,1796.71,1802.66,153.28198676,,,,0.0,0.0,1802.66,1802.66,,,,
2025-05-07 22:00:00,1746655200000,1802.66,1820.84,1802.01,1817.34,839.81442698,,,,1.1710541310540066,0.23421082621080133,1804.9184615384615,1803.7474074074075,,,,
2025-05-07 23:00:00,1746658800000,1817.33,1825.36,1809.01,1811.43,267.9387951,,,,1.6037483461982447,0.5081183302082901,1805.9202366863906,1804.3164883401923,,,,
2025-05-08 00:00:00,1746662400000,1811.43,1826.95,1809.0,1826.85,625.15272288,,,,3.15456292107001,1.037407248380634,1809.1402002730997,1805.9856373520297,,,,
2025-05-08 01:00:00,1746666000000,1826.95,1836.11,1820.79,1822.98,449.84542681,,,,4.024921201427105,1.6349100389899283,1811.2694002310843,1807.2444790296572,,,,
2025-05-08 02:00:00,1746669600000,1822.99,1846.31,1822.99,1841.65,996.48228618,,,,6.150302518499757,2.5379885348918942,1815.9433386570713,1809.7930361385716,,,,
2025-05-08 03:00:00,1746673200000,1841.65,1904.66,1840.14,1900.36,2000.13166694,,,,12.428817196906948,4.5161542672949055,1828.9305173252142,1816.5017001283072,,,,
2025-05-08 04:00:00,1746676800000,1901.22,1915.02,1893.46,1894.29,1402.33717208,,,,16.722025937005128,6.95732860123695,1838.9858223521044,1822.2637964150993,,,,
2025-05-08 05:00:00,1746680400000,1893.84,1904.39,1892.35,1897.03,855.05090251,,,,20.113662118711545,9.58859530473187,1847.915695836396,1827.8020337176845,,,,
2025-05-08 06:00:00,1746684000000,1896.84,1910.8,1896.23,1910.8,1111.62021816,,,,23.64017294918017,12.398910833621532,1857.5902041692582,1833.950031220078,,,,
2025-05-08 07:00:00,1746687600000,1910.8,1941.8,1908.69,1928.35,1611.73012486,,,,27.533705104684486,15.425869687834123,1868.4763266047569,1840.9426215000724,,,,
2025-05-08 08:00:00,1746691200000,1928.51,1946.92,1926.39,1934.62,1746.30910843,,,,30.770589783730202,18.49481370701334,1878.6522763578712,1847.881686574141,,,,
2025-05-08 09:00:00,1746694800000,1934.63,1941.54,1930.3,1941.54,1231.57409085,,,,33.50797134385152,21.497445234380976,1888.3273107643524,1854.819339420501,,,,
2025-05-08 10:00:00,1746698400000,1941.34,1966.84,1939.83,1962.01,1831.85298456,,,91.70374247579181,36.90372075598248,24.578700338701278,1899.6631091082982,1862.7593883523157,,,,
2025-05-08 11:00:00,1746702000000,1962.0,1962.0,1946.49,1957.76,1407.60690516,,,89.70814132104468,38.80462162581762,27.423884596124545,1908.6010923224062,1869.7964706965886,,,,
2025-05-08 12:00:00,1746705600000,1957.68,1975.7,1955.76,1960.46,2339.89423721,,,89.03556622299818,40.06709812924032,29.952527302747704,1916.5793858112668,1876.5122876820265,,,,
2025-05-08 13:00:00,1746709200000,1960.47,1984.1,1960.46,1975.48,1373.60901859,,,92.62588993400205,41.79778942817006,32.32157972783218,1925.6410187633796,1883.8432293352096,,,,
2025-05-08 14:00:00,1746712800000,1975.48,2009.26,1970.51,1990.26,5017.75328317,,,92.60128265290169,43.856447403933544,34.62855326305245,1935.5824004920905,1891.725953088157,,,,
2025-05-08 15:00:00,1746716400000,1990.27,2074.22,1989.32,2051.93,7050.98765535,,,95.86521895909293,49.889111659543914,37.680664942350745,1953.4820311856151,1903.5929195260712,,,,
2025-05-08 16:00:00,1746720000000,2051.76,2065.05,2037.81,2048.89,3744.9617001,1913.8345000000002,,94.28962215763381,53.804514006138106,40.90543475510822,1968.160180233982,1914.3556662278438,1913.8345000000002,75.68292969425323,2065.2003593885065,1762.4686406114938
2025-05-08 17:00:00,1746723600000,2050.0,2056.16,2037.8,2046.47,1526.444985,1926.0249999999996,,91.11836550909001,56.065931639439896,43.93753413197456,1980.2078448133693,1924.1419131739294,1926.0249999999996,76.46480156874395,2078.9546031374875,1773.0953968625117
2025-05-08 18:00:00,1746727200000,2046.47,2073.0,2044.71,2068.31,1930.80454584,1938.5735,,94.98035566583962,58.94099181778802,46.93822566913725,1993.7620225343894,1934.8210307166014,1938.5735,78.26195777306944,2095.097415546139,1782.0495844538611
2025-05-08 19:00:00,1746730800000,2068.31,2138.71,2061.48,2118.28,5040.77992253,1953.916,,95.96542984169201,64.50805045532229,50.45219062637426,2012.9186344521756,1948.4105839968533,1953.916,82.01246923165837,2117.940938463317,1789.891061536683
