datetime,timestamp,open,high,low,close,volume
2025-12-06 20:00:00,1765051200000,89430.5,89571.8,89350.6,89547.9,9.84712792
2025-12-06 21:00:00,1765054800000,89548.0,89566.0,89444.0,89444.0,8.53855948
2025-12-06 22:00:00,1765058400000,89444.0,89496.8,89271.3,89299.9,15.35806356
2025-12-06 23:00:00,1765062000000,89300.0,89309.9,88999.9,89240.1,18.94755806
2025-12-07 00:00:00,1765065600000,89240.1,89531.3,89232.9,89479.4,11.75573698
2025-12-07 01:00:00,1765069200000,89479.5,89538.9,89355.3,89355.4,5.28266883
2025-12-07 02:00:00,1765072800000,89355.4,89635.7,89355.3,89635.7,12.31098928
2025-12-07 03:00:00,1765076400000,89635.7,89732.5,89582.1,89722.0,8.8361598
2025-12-07 04:00:00,1765080000000,89722.1,89739.9,89509.9,89553.4,8.12017759
2025-12-07 05:00:00,1765083600000,89553.4,89553.4,89447.2,89485.0,7.19731627
2025-12-07 06:00:00,1765087200000,89485.0,89685.8,89484.9,89645.0,6.39499283
2025-12-07 07:00:00,1765090800000,89645.0,89718.8,89251.4,89374.7,5.51673071
2025-12-07 08:00:00,1765094400000,89374.7,89480.8,89251.4,89331.4,4.68777648
2025-12-07 09:00:00,1765098000000,89331.4,89370.4,89113.8,89125.4,4.50424094
2025-12-07 10:00:00,1765101600000,89125.4,89363.5,89118.8,89274.4,18.41202425
2025-12-07 11:00:00,1765105200000,89274.4,89274.4,89215.0,89215.1,9.47346388
2025-12-07 12:00:00,1765108800000,89215.1,89535.5,89175.6,89479.5,34.13392371
2025-12-07 13:00:00,1765112400000,89479.5,89479.5,88695.0,89064.0,47.38473714
2025-12-07 14:00:00,1765116000000,89064.0,89088.9,87777.0,88224.0,136.31554358
2025-12-07 15:00:00,1765119600000,88224.0,89717.8,88192.6,89539.8,65.09737862
2025-12-07 16:00:00,1765123200000,89539.9,89912.4,89171.6,89912.4,19.66519528
2025-12-07 17:00:00,1765126800000,89907.5,91219.8,89657.5,91010.1,140.27096512
2025-12-07 18:00:00,1765130400000,91010.1,91713.7,91010.0,91404.6,104.55376859
2025-12-07 19:00:00,1765134000000,91404.6,91502.0,91267.8,91359.8,20.21627714
2025-12-07 20:00:00,1765137600000,91359.9,91480.0,91359.9,91420.0,15.21934425
2025-12-07 21:00:00,1765141200000,91420.0,91420.0,89879.7,90235.8,118.602976
2025-12-07 22:00:00,1765144800000,90235.7,90235.8,89020.5,89625.3,67.99070519
2025-12-07 23:00:00,1765148400000,89625.3,90435.1,89582.0,90435.1,22.12082245
2025-12-08 00:00:00,1765152000000,90435.1,90565.4,89894.2,90399.5,24.2142264
2025-12-08 01:00:00,1765155600000,90399.5,91700.0,90343.6,90909.5,92.85951252
2025-12-08 02:00:00,1765159200000,90909.6,91415.6,90815.7,91372.6,40.99411029
2025-12-08 03:00:00,1765162800000,91366.6,91407.1,90989.9,91088.3,33.12699437
2025-12-08 04:00:00,1765166400000,91088.3,91460.9,91025.7,91264.6,42.15303148
2025-12-08 05:00:00,1765170000000,91264.6,91419.4,91050.8,91312.5,12.3065338
2025-12-08 06:00:00,1765173600000,91312.6,91653.6,91264.4,91454.3,42.67582719
2025-12-08 07:00:00,1765177200000,91454.3,91861.0,91362.2,91569.3,48.58507061
2025-12-08 08:00:00,1765180800000,91569.3,91916.5,91507.9,91852.7,44.16402729
2025-12-08 09:00:00,1765184400000,91825.7,92269.6,91800.2,91914.1,72.03129911
2025-12-08 10:00:00,1765188000000,91914.2,92198.6,91826.4,92130.0,60.60018279
2025-12-08 11:00:00,1765191600000,92130.0,92161.7,91895.8,91954.0,20.9164087
2025-12-08 12:00:00,1765195200000,91954.0,91979.1,91678.5,91764.7,24.95779997
2025-12-08 13:00:00,1765198800000,91764.7,92096.3,91337.3,91415.7,40.21107265
2025-12-08 14:00:00,1765202400000,91415.7,91735.6,90768.8,90863.2,119.09753918
